german,french,german_noise_random05,german_noise_random10,german_noise_random15,french_noise_random05,french_noise_random10,french_noise_random15
"Und das kann mich zur Verzweiflung treiben. Die letzten paar Jahre war ich darüber wirklich deprimiert, bis ich dieses Jahr etwas erfuhr, was mich geradezu in Aufregung versetzte. Ich glaube, dass das richtig gute Nachrichten sind und schockierend, ich sag 's nicht gern, weil ich denke, dass man mir nicht glauben wird. ","Et je suis parfois vraiment désespéré. J'ai passé pas mal d'années vraiment déprimé sur le sujet, jusqu'à cette année, j'ai appris quelque chose qui m'enthousiasme beaucoup. Je pense que c'est une très bonne nouvelle, et c'est tellement choquant, je n'aime pas dire cela, car je pense que les gens ne vont pas me croire. ","Und das kann emich zurn Verzweiflung treiben. Die leuzten paar Jahre war ich arüber warklich deprimiert, bis ich dieses Jahr etwas erfuhr, was mich geradepzu in Aufregung versetzte. Ich glaube, dassdas rihtig gutoe Nachrichten siwd und schockierendi, wich sag 's nicht ugern, weil ich denke,w dass maon mir nicht glaubrn wird. ","Und das knn mich zur Verzwheiflung tben. De letten par Jahre war ich daüber wirklich epimlrt, bis idc dimse Jahrdetwas rfuhr, was mich qgejadezu in Aufmregung versetzte. ch glaube, dass das richtig ute kachrichten sind und schockierend, zch sag 's nicht gern, weil ichdenbke, qdas man mir nicht gllauben wrd. ","Ud das kann mich zur Vezweiflrung tgreaben. jDie etzen paar Jahreowir ich dbrüberwwirklch deprizmiert, xbbis ich diewses Jahr etwas eqrfufr,wabmich geadezu in Aufregung verstzte. Ichhlaue, dhlss bas richtig gute Nachrichten sdin undk schokierend, ichgsag os nicht ern, tweil ich denke, dosskman mr nnzct glauben whrd.s ","t e suis marfois vraiment désespérpé. J'ai passé pas mal d'années vraiment déprimé sur le sujet, jusqu'à ctpte année, j'ai ppris quelquel chose yqui m'enthousiasme beaucoup. Je pense que c'eshune très bonne nouvele, et c'est tellemgnt choquant, je n'aime pas dire nela, car jek pense que les gens ne vont pas me croire. ","Et je suis parfois vraiment ddésespéréh J'ai phacsj pas mal d'années vraiment déprimé surype sujea, jusqu'à cette année j'al appris quelque chose qui m'enthocsiasmu beaucop. Je penbb que c'ns une teès bonnh novelle, et c'est tellemelnt choquant, je n'aime pasdire cela car je pense quees zens e vot paes me croire ","kt  suis parfxis vraiment désespéré J'aif assé pas mjlt d'annéeg vraient déprimé sur le suwojet, jusquf'à kcette année,u jai aprisbqelque chose qi m'enthouslasme oeaucoup. Je pense yquec'est une très honnuge nouvldtlle, et c'est tellement choqduan, je n'ame pasj didre cela, carje pense que pesgens nae oont pas med crroime. "
"Aber hier sehen Sie, was ich erfahren habe. ",Mais voici ce que j'ai appris. ,"Aber hiewr ehen Sie, was ich erfahren habe. ","Aber hie srehep Sie, was ich erfahen habe. ","hber hier sehen ie, bas ich erfahren hab.tw ",Mais voici ceb que j'ai appris. ,Mais vici cer qe j'ai appris. ,Mais voicic que j'ai aphris. 
"Im Großen und Ganzen sind die Amerikaner bei solchen Dingen, bei finanztechnischen Fragen, moderat, pragmatisch und gemäßigt. ","Les américains, pris dans leur entièreté, quand il s'agit de ces problèmes, de problèmes fiscaux, sont des centristes pragmatiques et modérés. ","Im Großen und Ganzen sins diejAmerikaeerz bei solchen Ddngen, bei finanztechnischen Fragen, moderat, pragmatisch und gemäßgt. ","Im Großen kud Ganzen sind die Ametikaner bei solcme Dingen, bei finanbztechnischen Frageg, moderat,pragiatisch unnd gemäßigt. ","jm Großlen nd Gapnzen sind die Amedikanero bei solchen tDngef, beif finanzfechnischsen Fragen, moderat, pragmatixshch ud gemäßidt. ","Les américains, pis dans leur entièreté, quand il s'agit de cesmproblèmes, je problèmes fiscaux, sont deys centristes pragmatiques ep modéros. ","Lesaméricains,g pris dans leur entièrseté, quandmil s'agity de ces problèmes, de problèpmes fiscauf, sont deu centristes prgemaiquens et qodérés. ","Lis américainsn, prisj dansuleur entièreté, qan il s'agitddy ces proglèmec, ode roblème fiscaux,e sont dus centgistes pragmajtiqurso yet modérs. "
"Ich weiß, dass es schwer zu glauben ist, dass Amerikaner moderat, pragmatisch und gemäßigt sein sollen. ","Et je sais que c'est difficile à croire, que les américains soient des centristes pragmatiques et modérés. ","Ich weiß, dass es schwer zu glauben ist, dass Amerikanfer modenrat, pragmiavtisch und gemäßigt sein sollens. ","Ich weiß, hdass esscdwer zu glauben ist, dass Amcrikner moderam, pragmatisch und gumäßidt sein soleno ","Ichbweip, dass es scher zu glaube ist, dass Amerikan moderat, pragxmatiscy un geußigt den sxllen. ","Etd je sais que c'est difcficile à croire, qube les américains sqient des centristes pragmatiques et modérés. ","Et je sais que c'est difficile à coire, bue ls américaips qsient des hentristes pramatiquces get modérés. ","Et je xsais que c'fsn difficileà crwoide, que lcep aériceains esoient ves centristew pragmatiques et odérés. "
Lassen Sie mich diesen Gedanken erklären. ,Mais laissez-moi vous expliquer ma pensée. ,Lassen Sie ich diesan Gedanken erklären. ,Lassen Sie mich dtiesen Gxedanken klären. ,Lasesen Sce mich diesen Geodanken erklähren.k,ais laissez-moi vousnexpliquer ma pensée. ,Mais aissez-wmoi vous expliquer ma phensée. ,Mpi lahssez-moi voulvfxpliquer ma pensée. 
"Wenn Sie sich anschauen, wie die Bundesregierung Geld ausgibt, sind Sie mitten im Kampf, 55%, mehr als die Hälfte, geht an Sozialversicherung, Medicare, Medicaid, und einige andere Gesundheitsprogramme, 20% an Verteidigung, 19% sind Ermessenssache und 6% Zinsen. ","Quand on regarde comment le gouvernement fédéral dépense l'argent, ce qui est le sujet de dispute ici, 55 %, plus de la moitié, va à la Sécurité Sociale, Medicare, Medicaid et quelques autres programmes de santé, 20 % à la défense, 19 % sont discrétionnaire, et 6 % aux intérêts. ","Wenn Sie sich anschauen, wie die Bundesregerung Geld ausgibtt, sind Sie mitten im Kmpf, 55%, oehr als dia Häfte, geht an Sozialversicherung, Medicxre, Medicaid, und einige andere Gesundheitspdrogramme,20g an Verteidigung, 19% sind Ermessenssache ue 6%y Zinsen. ","Wenn Sie sich anschkuauen, wiqe e Bundesregierung Geld ausgibt,sind Sie mitten im Kampf, 55%, mehr als die Häljfte, geht an Soqzialversiocherong, Meiicare, rMedicaid unwd einige andere Gesundzeisprogramme, 20% amn Verteidigunyg, 19% sind Ermewssensacherud 6%n hZivnsn. ","WenndSiefosiih anschsgauen, wie dim Bundeysregierusg Geld ausgibtv nd Sin mittn ifm Kamf, 55%, mehoals die Hlfte, gerht anrSozialversicherung, Medicare, Medicard und einige andere Gbesundheitsprograme, 2j% an Vperthyeakung, 19% sind Ermessenssach uod e6% Zinsen. ","Quand on regarde comjent le gouvernementy fédéram dépense zl'avgent, ce qui est le sujet cde dispute ici, 55 %, plus de la moitié, va à la Sécurité Sociale, jMedcicare, Medicaid et quglques autres programmes de santé, 20 % à l défense, 19 % sont rdiscrétonxnaire, et 6c% aux intérêts. ","Quand on regardea comment tle gouverementdfédéral dépense l'argat, ce qui wst le sujoet de dispute ici, 55 %, plus de l qmoitié, va àla Sécurité Sociale, bMedichaj, Mbedicaid et quelquesn autres progrmmesgde sonté, 20 % à la défehnse, 19 % xont discrénionaire, et 6  auf inbtérêtsv ","Qucand on regarde commdent e goyvernement foédéraldépense l'rgent, xcepo rqui esto l sutetpde diseutveicu, 55 %, plus de lja moitiié, va à la Sécuwrité Sociale, Medqcye, Medicasd et quelues autres programmes di salté, b20 % à ladéfdense, 19 % soynt discrétionrjnaire, ret 6 % aux qintérêts. "
"Wenn wir von der Senkung von Regierungsausgaben sprechen, sprechen wir von diesem Kuchen, und die große Mehrheit der Amerikaner, egal aus welcher Partei, mag diesen großen 55% -Happen. ","Donc quand on parle de couper dans les dépenses gouvernementales, c'est l'assiette dont nous parlons, et les Américains, de manière écrasante, peu importe le parti auquel ils appartiennent, de manière écrasante, ils apprécient cette énorme tranche de 55 %. ","enn wivr von der Senkung von Regirugsausgaben sprjchen, sprechep wir von diesem Kuchen, ued die große Mehrheit der Amerikaner, egal aus welcher Parei, mag diesen grßen 55% -Happen. ","Wenn wfdir von der Sekng vc egierunsaugaxben sprechen, sprechen wir von diesem Kuce, und die große ehrheit der Aerikaner, egalyxaus welcher Partei, mag diesec großen 55% -Hapen. ","Wenngwir von der enkung von Regipcugsausgaben sprechent, stprrchn wnrihvondisem Kuchen und die große erhrheitder Amerikaqner, egal jus welcher Partei, agk dibesen großen 55s -Hppen. ","Donc quandon parle deb couper dans le dépenses gouvernementales, c'eslt l'assiette dont nous paalons, et lesv Américains, de manière écrasant, peu importe le parti auauel ils apiartiennent, de maunière écrasante, hls apprécient cette énorme tranche de 55 %. ","Donc quand on parle de couper duanz lespdépenses gouvernementafes, c'est l'assiette sdont nous parlons et les méricains,w deimanièr écrasante, pe imorte le pdoarti auquel ils apparqennent, de manière écrasante, sils pprécienth cetu énorme tranche de 55 %v ","Don quad on parleede couper dans fes dépenscqs gouvereumentalqs, ic'st l'asiette dhont nousparons, wt les Améxicgains, de manièregécrhacacnte, eu importe le partki zuyquel ils appartiqenneit, de mvanière écrasante, ils apprécient cete énorme tranchie de 5b5 %.a"
Sie mögen die Sozialversicherung. Sie mögen Medicare. ,Ils aiment la Sécurité Sociale. Ils aiment Medicare. ,Sie mögen die Sozialversicrrung. Sie mögen Medicare. ,Sie mögenn die Sozialersicherlung.tSie fögen Medicare. ,Sieb mömen die Sbozialvyricherng. Sie mögen Medircare. ,Ibs aiment la Sécurité Sociale. ls aiment Medicare. ,Ils aimyent la Sécurité Socioalev Ils aimeznt Mediocare. ,Ismaiimnt la Sécurité Soiale. Ils aimenx Mdicare. 
"Sie mögen sogar Medicaid, selbst wenn das für die Armen und Mittellosen ist, und man annehmen könnte, dass das weniger Unterstützung erfährt. ","Ils aiment même Medicaid, malgré le fait que ça aille aux pauvres et indigents, ce que l'on aurait pu penser avoir moins de soutien. ","ie mögen sogar Medicaid,cselblvsdu wenn das für die Armen und vMittellosen ist, und man annehmen könnte, dass das weniger Unterstützung erfährt. ","Siey migen fgar Medicaid, sebst wenn das für die Armen n Mittellosen ist, und man annehmennkönte,dass das weniger Untertülzungerfährt. ","Sie mögen sqvkgar sedicaid, selbst wenn dasfür die Armezn un Mittelosen ist, un man nnehmen önnt,w dassdaas wenge Unterstüzungnerfährit. ","Ils aiment même Medicaid, magré le faitt que ça aille aux pauvres et indigents, uce qge l'on aurait pu penser avoir moins de soute. ","Ils fiment même Medicaid, malgré le fait que zaaille aux pauvres e inigens, ce qu l'mon auait pui penser avovr moins de soutienq. ","Ils ent même Medicaid,malgré le fait que ça ailledapdx pauvres euo ieddgentz, e que l'on arait pu penserkavoirjxmoins de soutieyn. "
"Sie wollen, dass es im Wesentlichen unangetastet bleibt, obwohl es den meisten Amerikanern erstaunlich gut geht. Dabei sind die Demokraten und Republikaner im Grunde genommen einer Meinung mit einigen Anpassungen, die das System stabiler machen. ","Et ils ne veulent pas qu'elle soient fondamentalement réformée même si les Américains sont remarquablement à l'aise, Démocrates et Républicains à peu près à égalité, avec des ajustements mineurs pour créer un système plus stable. ","Sie wollen, dass es imx Wesetlichen unangetastet bleibt,g obwohl es den meisten Ameriknern erstaunlich gut geht. Dabei sind di Dekmokraten unl Republikanerr im Grunde genommen einer Meinung mit ejinigen Anpassungen, die das System stabiled machenup. ","Sie wollen dass es ihm Wesentlichen unangetjbstet bleibt,wowohl es evn meisten Ameikanern rsstaunlich gut geht. Dabei sifd die Deokraten und Republikaner im Grunde genommen einper Meinung miteiigzn Anpassunngehn, kie idas System stabilere machen. ","eSie swollen, dss es im Wesetsnicosn unaneastzet bleibt, obwfohl ew dcen meisten Amezikanern ewrstaunlich gutgght. bei sind die Deumokratexn und Republikaner im Grude genommen einei Meinung mit eixnigen npacssnungen, mge da System stabiler machen. ","Et ils ne veulnent pas qu'elle svoient fondamentaleqment réformée même si les Américains shnt remarquablement à l'aise, Démocrates et Républicains à peu près à égalythé, zvec dies amustements mieurs pour créer un système pmlus stable. ","Etgiyls nenveulent pasqu'eljejsoiyent fondamentalenment réformée même o les Américains usont remarquablement mà l'aise, Démocrajtes et Républicains à pun pès à égaldzél, avec des ajustemnts minurs pour créer un système pyluc stable. ","t ils ne veulentopas qu'eale roietnt fondamentaement réfommée mêmesi lfsq Amérifcains sctrvmarquablemheq f l'aise, mémocrates emt épublimcais à peu prèsu à égalité, arec des jusrwments mineurs ppur créer unu système plus saable. "
Die Sozialversicherung lässt sich recht einfach flicken. ,La Sécurité Sociale est assez facile à réparer. ,Die Sozalversicherung lässt sich rechl einfach flicken. ,Die Sozialveracherung lässd sich recht einfach flicjn. ,Diew uSozialversicierung lmgsst siqch recht enfachcflicken. ,La Sécurité oociale est nassez facile à réparer. ,LaxSécurité Sciale est assez facill à réparer.d ,La ocuritv Sociale est assezxfacile b néparer. 
Die Gerüchte über ihren Niedergang werden immer maßlos übertrieben. ,Les rumeurs de sa mort sont toujours grandement exagérée. ,Die Gerüchte über ihren Niedergang werden imme maßlos überpuieben. ,Dwie Geprüchte über ihren Niedergang werden immnr mvßlos übertrebexn. ,Die Gnrüchtenüber ihren Nirdergang werds imer maßlos üxertrieben. ,Les rumeurs de sa mort osont toujours gralndement exagérée. ,Les rumeuci de sa mort sont toujours grandemnyt exagérée. ,nesg rumers de wa aojrt sont toujoubs grandement exaérée. 
"Etwa, indem das Rentenalter für die Sozialversicherung angehoben wird, vielleicht nur für Leute, die noch nicht geboren sind. ","Ainsi l'âge de la retraite augmente graduellement, peut-être seulement pour les gens qui ne sont pas encore nés. ","Emtwx, indem das Rentenrlter fqr die Sozcalversicherung angehoben wird, vielleicht nur für Leute, die noch nicht gebohren sind. ","Etwa, indem daos Rentenalter fr die Sozalversicqherung anopzoben wird, vielleicht nur für Leut, die och nicht gebojren sind. ","Etwa, inodem dys Rentenailer für dihe Sozialversichesrung angehben wirdua viellevicht nuqr fü Leute,ydie noch nicht gesren sintu ","Ainsi l'âge de la retraite augmente araduellesment, peut-être seulemnent pour les geniqui ne sont pas encore nés. ","Aipsi l'âge dep la retraite augmente graduellemernt, pegt-être speufegment pnur les gens hui ne sont pas encorte néc. ","Ainxil'hede la retryite augmente graeduellent, peutêtre seuleqent pour lls gens qui nesont pas encore nés. "
"Da sind die Amerikaner zwiegespalten, ob Demokraten oder Republikaner. ","Les Américains sont à 50 / 50, qu'ils soient Démocrates ou Républicains, pour ","Da sind die Amerikaner zwiegespaltenv, ob Demokratei oder Repualikaner. ","ua sind die Amerikaer zwieespadlten, ob Demokraen oder Republimanerg. ","Da ind die Ameriukaer zwiegespalten, ob Dzemokte foder Republikaner. ","Les Américains sont t 50 / 50, qu'ils soient Démocrates ou Républiycains, pour ","nLesAméricains sont  50 / 50, qu'ils ksoint Démocrates oux Républcains, pour ","Les Amérjvicains sost à 50 /50sp,n qu'ils soientz Démocrates ou Répubglicans, pur "
